Month,Year,Municipality,Tax_Rev,RetainedByCity_PercentOfTotalTax,Rec_SpecialSalesTax_Amount,Combined_Local_Govs,Notes,Unincorp_County,NR_Code,Unincorp_NR_Code
7,2014,Telluride,7540,0.15,0.1,,,,,
5,2015,Trinidad,7073,0.15,0.1,,,,,
7,2014,Combined Local Governments,85157,0.15,0.1,"Alma, Aspen, Carbondale, Central City, Crested Butte, Eagle, Empire, Frisco, Ft. Collins, Georgetown, Glenwood Springs, Lafayette, Leadville, Louisville,Mountain View, Nederland, Northglenn, Ridgway, Sedgwick, Silverthorne,Steamboat Springs, Wheat Ridge, Boulder County, Clear Creek County,Gilpin County, Larimer County, Park County and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
8,2014,Boulder,37289,0.15,0.1,,,,,
8,2014,Breckenridge,8143,0.15,0.1,,,,,
8,2014,Denver,210073,0.15,0.1,,,,,
8,2014,Edgewater,13867,0.15,0.1,,,,,
8,2014,Garden City,17524,0.15,0.1,,,,,
8,2014,Idaho Springs,4535,0.15,0.1,,,,,
8,2014,Pueblo County,30183,0.15,0.1,,,,,
8,2014,Telluride,8223,0.15,0.1,,,,,
8,2014,Wheat Ridge,8403,0.15,0.1,,,,,
8,2014,Combined Local Governments,105258,0.15,0.1,"Alma, Aspen, Carbondale, Central City, Crested Butte, Eagle, Empire, Frisco, Ft. Collins, Georgetown, Glenwood Springs, Lafayette, Leadville, Louisville,Mountain View, Nederland, Northglenn, Ridgway, Sedgwick, Silverthorne,Steamboat Springs, Boulder County, Clear Creek County,Gilpin County, Larimer County, Park County and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
9,2014,Boulder,41268,0.15,0.1,,,,,
9,2014,Breckenridge,7873,0.15,0.1,,,,,
9,2014,Crested Butte,3878,0.15,0.1,,,,,
9,2014,Denver,242317,0.15,0.1,,,,,
9,2014,Edgewater,14797,0.15,0.1,,,,,
9,2014,Garden City,19366,0.15,0.1,,,,,
9,2014,Glenwood Springs,7696,0.15,0.1,,,,,
9,2014,Idaho Springs,4729,0.15,0.1,,,,,
9,2014,Pueblo County,18793,0.15,0.1,,,,,
9,2014,Telluride,8879,0.15,0.1,,,,,
9,2014,Wheat Ridge,9516,0.15,0.1,,,,,
9,2014,Combined Local Governments,117099,0.15,0.1,"Alma, Aspen, Carbondale, Central City, Eagle, Empire, Frisco, Ft. Collins, Georgetown, Lafayette, Leadville, Louisville, Manitou Springs,Mountain View, Nederland, Northglenn, Ridgway, Salida, Sedgwick, Silverthorne,Steamboat Springs, Boulder County, Clear Creek County, Eagle County, Gilpin County, Larimer County, Park County, Pitkin County, and Saguache County","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
10,2014,Aspen,3422,0.15,0.1,,,,,
10,2014,Boulder,37933,0.15,0.1,,,,,
10,2014,Denver,211222,0.15,0.1,,,,,
10,2014,Edgewater,13036,0.15,0.1,,,,,
10,2014,Garden City,18018,0.15,0.1,,,,,
10,2014,Glenwood Springs,6783,0.15,0.1,,,,,
10,2014,Idaho Springs,3631,0.15,0.1,,,,,
10,2014,Pueblo County,25189,0.15,0.1,,,,,
10,2014,Telluride,5866,0.15,0.1,,,,,
10,2014,Wheat Ridge,9286,0.15,0.1,,,,,
10,2014,Combined Local Governments,99162,0.15,0.1,"Alma, Carbondale, Central City, Eagle, Empire, Frisco, Ft. CollinsGeorgetown, Lafayette, Leadville, Log Lane Village, Louisville, MoffatMountain View, Nederland, Northglenn, Ridgway, Salida, Sedgwick, SilverthorneSteamboat Springs, Archuleta County, Boulder County, Clear Creek County, Eagle CountyGilpin County, Larimer County, Park County, Pitkin County, and Saguache County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
11,2014,Aspen,1924,0.15,0.1,,,,,
11,2014,Boulder,36970,0.15,0.1,,,,,
11,2014,Breckenridge,4133,0.15,0.1,,,,,
11,2014,Crested Butte,2766,0.15,0.1,,,,,
11,2014,Denver,238775,0.15,0.1,,,,,
11,2014,Durango,8195,0.15,0.1,,,,,
11,2014,Edgewater,12834,0.15,0.1,,,,,
11,2014,Fort Collins,11028,0.15,0.1,,,,,
11,2014,Garden City,16902,0.15,0.1,,,,,
11,2014,Glenwood Springs,5378,0.15,0.1,,,,,
11,2014,Idaho Springs,3300,0.15,0.1,,,,,
11,2014,Pueblo County,18413,0.15,0.1,,,,,
11,2014,Telluride,6000,0.15,0.1,,,,,
11,2014,Wheat Ridge,9475,0.15,0.1,,,,,
6,2017,San Luis,,0.15,0.1,,,,NR,
11,2014,Combined Local Governments,112145,0.15,0.1,"Alma, Aurora, Carbondale, Central City, Eagle, Empire, Frisco, Georgetown,Lafayette, Leadville, Log Lane Village, Louisville, Manitou Springs, Moffat,Mountain View, Nederland, Northglenn, Ridgway, Salida, Sedgwick, Silt, Silver Plume, Silverthorne, Steamboat Springs, Archuleta County, Boulder County, Clear Creek County, Eagle County, Gilpin County, Larimer County, Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
12,2014,Aspen,3154,0.15,0.1,,,,,
12,2014,Aurora,12090,0.15,0.1,,,,,
12,2014,Boulder,38935,0.15,0.1,,,,,
12,2014,Breckenridge,6654,0.15,0.1,,,,,
12,2014,Crested Butte,2051,0.15,0.1,,,,,
12,2014,Denver,192248,0.15,0.1,,,,,
12,2014,Durango,9712,0.15,0.1,,,,,
12,2014,Edgewater,11605,0.15,0.1,,,,,
12,2014,Fort Collins,14567,0.15,0.1,,,,,
12,2014,Garden City,14880,0.15,0.1,,,,,
12,2014,Glenwood Springs,5945,0.15,0.1,,,,,
12,2014,Idaho Springs,2754,0.15,0.1,,,,,
12,2014,Pueblo County,17845,0.15,0.1,,,,,
12,2014,Telluride,2118,0.15,0.1,,,,,
12,2014,Wheat Ridge,9202,0.15,0.1,,,,,
3,2015,Breckenridge,10597,0.15,0.1,,,,,
3,2015,Crested Butte,3366,0.15,0.1,,,,,
3,2015,Denver,238902,0.15,0.1,,,,,
12,2014,Combined Local Governments,68014,0.15,0.1,"Alma, Carbondale, Central City, Eagle, Frisco, Georgetown,Lafayette, Leadville, Louisville, Manitou Springs, Moffat,Mountain View, Nederland, Northglenn, Ridgway, Salida, Sedgwick, Silt, Silver Plume, Silverthorne, Steamboat Springs, Trinidad, Archuleta County, Boulder County, Clear Creek County, Costilla County, Eagle County, Gilpin County, Larimer County, Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
1,2015,Aspen,7232,0.15,0.1,,,,,
1,2015,Aurora,21291,0.15,0.1,,,,,
1,2015,Boulder,37314,0.15,0.1,,,,,
1,2015,Breckenridge,10280,0.15,0.1,,,,,
1,2015,Crested Butte,3423,0.15,0.1,,,,,
1,2015,Denver,227211,0.15,0.1,,,,,
1,2015,Durango,12584,0.15,0.1,,,,,
1,2015,Edgewater,17598,0.15,0.1,,,,,
1,2015,Fort Collins,24578,0.15,0.1,,,,,
1,2015,Garden City,16066,0.15,0.1,,,,,
1,2015,Glenwood Springs,4800,0.15,0.1,,,,,
1,2015,Idaho Springs,3368,0.15,0.1,,,,,
1,2015,Pueblo County,19709,0.15,0.1,,,,,
1,2015,Telluride,5117,0.15,0.1,,,,,
1,2015,Wheat Ridge,10242,0.15,0.1,,,,,
1,2015,Combined Local Governments,126852,0.15,0.1,"Alma, Black Hawk, Carbondale, Central City, Eagle, Fraser, Frisco,Georgetown,Lafayette, Leadville, Log Lane Village, Louisville, Mancos, Manitou Springs, Moffat, Mountain View, Nederland, Northglenn, Ridgway, Salida, Sedgwick, Silt, Silver Plume, Silverthorne,Steamboat Springs, Trinidad, Archuleta County, Boulder County, Clear Creek County, Costilla County, Eagle County, Gilpin County, Larimer County, Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
2,2015,Aspen,11941,0.15,0.1,,,,,
2,2015,Aurora,22966,0.15,0.1,,,,,
2,2015,Boulder,38329,0.15,0.1,,,,,
2,2015,Breckenridge,13984,0.15,0.1,,,,,
2,2015,Crested Butte,4096,0.15,0.1,,,,,
2,2015,Denver,219110,0.15,0.1,,,,,
2,2015,Durango,11690,0.15,0.1,,,,,
2,2015,Edgewater,12298,0.15,0.1,,,,,
2,2015,Fort Collins,1942,0.15,0.1,,,,,
2,2015,Garden City,17991,0.15,0.1,,,,,
2,2015,Glenwood Springs,5157,0.15,0.1,,,,,
2,2015,Idaho Springs,3911,0.15,0.1,,,,,
2,2015,Pueblo County,15892,0.15,0.1,,,,,
2,2015,Telluride,5649,0.15,0.1,,,,,
2,2015,Trinidad,3362,0.15,0.1,,,,,
2,2015,Wheat Ridge,10357,0.15,0.1,,,,,
5,2015,Wheat Ridge,9284,0.15,0.1,,,,,
8,2015,Carbondale,1700,0.15,0.1,,,,,
2,2015,Combined Local Governments,125795,0.15,0.1,"Alma, Basalt, Black Hawk, Carbondale, Central City, Cortez, De Beque,Dillion, Eagle, Empire, Fraser, Frisco, Georgetown, Glendale, Lafayette,Leadville, Log Lane Village, Louisville, Lyons, Mancos, Manitou Springs,Moffat, Mountain View, Nederland, Northglenn, Ridgway, Salida, Sedgwick,Silt, Silver Plume, Silverthorne, Silverton, Steamboat Springs, Winter Park,Archuleta County, Boulder County, Clear Creek County, Costilla County,Eagle County, Gilpin County, Larimer County, Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
3,2015,Aspen,8858,0.15,0.1,,,,,
3,2015,Aurora,32843,0.15,0.1,,,,,
3,2015,Boulder,33778,0.15,0.1,,,,,
3,2015,Durango,12126,0.15,0.1,,,,,
3,2015,Edgewater,21297,0.15,0.1,,,,,
3,2015,Fort Collins,11436,0.15,0.1,,,,,
3,2015,Garden City,19060,0.15,0.1,,,,,
3,2015,Glenwood Springs,4224,0.15,0.1,,,,,
3,2015,Idaho Springs,3691,0.15,0.1,,,,,
3,2015,Pueblo County,12189,0.15,0.1,,,,,
3,2015,Telluride,2887,0.15,0.1,,,,,
3,2015,Trinidad,4307,0.15,0.1,,,,,
3,2015,Wheat Ridge,9596,0.15,0.1,,,,,
3,2015,Combined Local Governments,143933,0.15,0.1,"Alma, Basalt, Black Hawk, Carbondale, Central City, Cortez, De Beque,Dillion, Eagle, Empire, Fraser, Frisco, Georgetown, Glendale, LeadvilleLog Lane Village, Louisville, Lyons, Mancos, Manitou Springs, Moffat,Mountain View, Nederland, Northglenn, Ridgway, Salida, Sedgwick,Silt, Silver Plume, Silverthorne, Silverton, Steamboat Springs,Archuleta County, Boulder County, Clear Creek County, Costilla County,Eagle County, Gilpin County, Larimer County, Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
4,2015,Aspen,1061,0.15,0.1,,,,,
4,2015,Aurora,34615,0.15,0.1,,,,,
4,2015,Boulder,38892,0.15,0.1,,,,,
4,2015,Breckenridge,13117,0.15,0.1,,,,,
4,2015,Cortez,3080,0.15,0.1,,,,,
4,2015,Crested Butte,3948,0.15,0.1,,,,,
4,2015,Denver,249081,0.15,0.1,,,,,
4,2015,Durango,15308,0.15,0.1,,,,,
4,2015,Eagle County,13961,0.15,0.1,,,,,
4,2015,Edgewater,18183,0.15,0.1,,,,,
4,2015,Fort Collins,17707,0.15,0.1,,,,,
4,2015,Garden City,21652,0.15,0.1,,,,,
4,2015,Glenwood Springs,5117,0.15,0.1,,,,,
4,2015,Idaho Springs,4285,0.15,0.1,,,,,
4,2015,Northglenn,19889,0.15,0.1,,,,,
4,2015,Pueblo County,23862,0.15,0.1,,,,,
4,2015,Telluride,6932,0.15,0.1,,,,,
4,2015,Trinidad,6225,0.15,0.1,,,,,
4,2015,Wheat Ridge,10010,0.15,0.1,,,,,
4,2015,Combined Local Governments,123967,0.15,0.1,"Alma, Basalt, Black Hawk, Carbondale, Central City, De Beque, Dillion,Eagle, Empire, Fraser, Frisco, Georgetown, Glendale, Lafayette, Leadville,Log Lane Village, Louisville, Lyons, Mancos, Manitou Springs, Moffat,Mountain View, Nederland, Ridgway, Salida, Sedgwick, Silt, Silver Plume,Silverthorne, Silverton, Steamboat Springs, Archuleta County, Boulder County,Clear Creek County, Costilla County, Gilpin County, Larimer County,Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
5,2015,Aspen,5590,0.15,0.1,,,,,
5,2015,Aurora,44066,0.15,0.1,,,,,
5,2015,Boulder,39757,0.15,0.1,,,,,
5,2015,Breckenridge,6526,0.15,0.1,,,,,
5,2015,Crested Butte,2931,0.15,0.1,,,,,
5,2015,Denver,281080,0.15,0.1,,,,,
5,2015,Durango,13958,0.15,0.1,,,,,
5,2015,Eagle County,6631,0.15,0.1,,,,,
5,2015,Edgewater,23571,0.15,0.1,,,,,
5,2015,Fort Collins,19598,0.15,0.1,,,,,
5,2015,Garden City,22821,0.15,0.1,,,,,
5,2015,Glenwood Springs,4905,0.15,0.1,,,,,
5,2015,Idaho Springs,3562,0.15,0.1,,,,,
5,2015,Northglenn,25263,0.15,0.1,,,,,
5,2015,Pueblo County,20005,0.15,0.1,,,,,
5,2015,Salida,6566,0.15,0.1,,,,,
5,2015,Telluride,2258,0.15,0.1,,,,,
5,2015,Combined Local Governments,109944,0.15,0.1,"Alma, Basalt, Black Hawk, Carbondale, Central City, Cortez, De Beque, Dillion,Eagle, Empire, Fraser, Frisco, Georgetown, Glendale, Lafayette, Leadville,Log Lane Village, Louisville, Lyons, Mancos, Manitou Springs, Moffat,Mountain View, Nederland, Ridgway, San Luis, Silt, Silver Plume,Silverthorne, Steamboat Springs, Archuleta County, Boulder County,Clear Creek County, Costilla County, Gilpin County, Larimer County,Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
6,2015,Aspen,3416,0.15,0.1,,,,,
6,2015,Aurora,47889,0.15,0.1,,,,,
6,2015,Boulder,41694,0.15,0.1,,,,,
6,2015,Breckenridge,4597,0.15,0.1,,,,,
6,2015,Carbondale,2094,0.15,0.1,,,,,
6,2015,Central City,1662,0.15,0.1,,,,,
6,2015,Cortez,5922,0.15,0.1,,,,,
6,2015,Crested Butte,2950,0.15,0.1,,,,,
6,2015,Denver,265001,0.15,0.1,,,,,
6,2015,Durango,18796,0.15,0.1,,,,,
6,2015,Eagle County,5217,0.15,0.1,,,,,
6,2015,Edgewater,21839,0.15,0.1,,,,,
6,2015,Fort Collins,22464,0.15,0.1,,,,,
6,2015,Garden City,24545,0.15,0.1,,,,,
6,2015,Glenwood Springs,5704,0.15,0.1,,,,,
6,2015,Idaho Springs,3404,0.15,0.1,,,,,
6,2015,Northglenn,24325,0.15,0.1,,,,,
6,2015,Pueblo County,24936,0.15,0.1,,,,,
6,2015,Salida,4689,0.15,0.1,,,,,
6,2015,Telluride,1874,0.15,0.1,,,,,
6,2015,Trinidad,8005,0.15,0.1,,,,,
6,2015,Wheat Ridge,10729,0.15,0.1,,,,,
6,2015,Combined Local Governments,127650,0.15,0.1,"Alma, Basalt, Black Hawk, De Beque, Dillion, Eagle, Empire, Fraser, Frisco,Georgetown, Glendale, Lafayette, Leadville, Log Lane Village, Louisville,Lyons, Mancos, Manitou Springs, Moffat, Mountain View, Nederland, Ridgway,San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Silverton, Steamboat Springs,Archuleta County, Boulder County, Clear Creek County, Costilla County,Gilpin County, Grand County, Larimer County, Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
7,2015,Aspen,5739,0.15,0.1,,,,,
7,2015,Aurora,51661,0.15,0.1,,,,,
7,2015,Boulder,40488,0.15,0.1,,,,,
7,2015,Boulder County,9059,0.15,0.1,,,,,
7,2015,Breckenridge,6172,0.15,0.1,,,,,
7,2015,Carbondale,2236,0.15,0.1,,,,,
7,2015,Central City,1521,0.15,0.1,,,,,
7,2015,Cortez,5837,0.15,0.1,,,,,
7,2015,Crested Butte,3765,0.15,0.1,,,,,
7,2015,Denver,259660,0.15,0.1,,,,,
7,2015,Durango,19248,0.15,0.1,,,,,
7,2015,Eagle County,6633,0.15,0.1,,,,,
7,2015,Edgewater,24359,0.15,0.1,,,,,
7,2015,Fort Collins,23093,0.15,0.1,,,,,
7,2015,Garden City,25405,0.15,0.1,,,,,
7,2015,Glenwood Springs,5899,0.15,0.1,,,,,
7,2015,Idaho Springs,3265,0.15,0.1,,,,,
7,2015,Northglenn,19980,0.15,0.1,,,,,
7,2015,Pueblo County,20240,0.15,0.1,,,,,
7,2015,Steamboat Springs,7290,0.15,0.1,,,,,
7,2015,Telluride,5164,0.15,0.1,,,,,
7,2015,Trinidad,10257,0.15,0.1,,,,,
7,2015,Wheat Ridge,10337,0.15,0.1,,,,,
7,2015,Combined Local Governments,119118,0.15,0.1,"Alma, Basalt, Black Hawk, De Beque, Dillion, Eagle, Empire, Fraser,Frisco, Georgetown, Glendale, Lafayette, Leadville, Log Lane VillageLouisville, Lyons, Mancos, Manitou Springs, Moffat, Mountain View,Nederland, Ridgway, Salida, San Luis, Sedgwick, Silt, Silver Plume,Silverthorne, Silverton, Walsenburg, Archuleta County, Clear Creek County,Costilla County, Gilpin County, Grand County, Larimer County,Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
8,2015,Aspen,10060,0.15,0.1,,,,,
8,2015,Aurora,61838,0.15,0.1,,,,,
8,2015,Boulder,46330,0.15,0.1,,,,,
8,2015,Boulder County,10818,0.15,0.1,,,,,
8,2015,Breckenridge,8675,0.15,0.1,,,,,
8,2015,Central City,2245,0.15,0.1,,,,,
8,2015,Cortez,7162,0.15,0.1,,,,,
8,2015,Crested Butte,6905,0.15,0.1,,,,,
8,2015,Denver,292653,0.15,0.1,,,,,
8,2015,Durango,18416,0.15,0.1,,,,,
8,2015,Eagle County,9646,0.15,0.1,,,,,
8,2015,Edgewater,22326,0.15,0.1,,,,,
8,2015,Fort Collins,27780,0.15,0.1,,,,,
8,2015,Garden City,28179,0.15,0.1,,,,,
8,2015,Glenwood Springs,7299,0.15,0.1,,,,,
8,2015,Idaho Springs,5344,0.15,0.1,,,,,
8,2015,Northglenn,30456,0.15,0.1,,,,,
8,2015,Pueblo County,30913,0.15,0.1,,,,,
8,2015,Steamboat Springs,9478,0.15,0.1,,,,,
8,2015,Telluride,5813,0.15,0.1,,,,,
8,2015,Trinidad,16971,0.15,0.1,,,,,
8,2015,Wheat Ridge,13095,0.15,0.1,,,,,
8,2015,Combined Local Governments,152044,0.15,0.1,"Alma, Antonito, Basalt, Black Hawk, De Beque, Dillion, Eagle, Empire, Fraser,Frisco, Georgetown, Glendale, Lafayette, Leadville, Log Lane Village,Louisville, Lyons, Mancos, Manitou Springs, Moffat, Mountain View,Nederland, Ridgway, Salida, San Luis, Sedgwick, Silt, Silver Plume,Silverthorne, Silverton, Walsenburg, Adams County, Archuleta County,Costilla County, Gilpin County, Grand County, Larimer County,Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
9,2015,Aspen,9417,0.15,0.1,,,,,
9,2015,Aurora,68196,0.15,0.1,,,,,
9,2015,Boulder,46578,0.15,0.1,,,,,
9,2015,Boulder County,10883,0.15,0.1,,,,,
9,2015,Breckenridge,8651,0.15,0.1,,,,,
9,2015,Carbondale,2331,0.15,0.1,,,,,
9,2015,Central City,1934,0.15,0.1,,,,,
9,2015,Cortez,7592,0.15,0.1,,,,,
9,2015,Crested Butte,6553,0.15,0.1,,,,,
9,2015,Denver,312404,0.15,0.1,,,,,
9,2015,Durango,27289,0.15,0.1,,,,,
9,2015,Eagle County,9449,0.15,0.1,,,,,
9,2015,Edgewater,31790,0.15,0.1,,,,,
9,2015,Fort Collins,30251,0.15,0.1,,,,,
9,2015,Garden City,29463,0.15,0.1,,,,,
9,2015,Glendale,8904,0.15,0.1,,,,,
9,2015,Glenwood Springs,6926,0.15,0.1,,,,,
9,2015,Idaho Springs,4948,0.15,0.1,,,,,
9,2015,Northglenn,30677,0.15,0.1,,,,,
9,2015,Pueblo County,25425,0.15,0.1,,,,,
9,2015,Salida,12393,0.15,0.1,,,,,
9,2015,Steamboat Springs,9660,0.15,0.1,,,,,
9,2015,Telluride,5511,0.15,0.1,,,,,
9,2015,Trinidad,11645,0.15,0.1,,,,,
9,2015,Wheat Ridge,10574,0.15,0.1,,,,,
9,2015,Combined Local Governments,142158,0.15,0.1,"Alma, Antonito, Basalt, Black Hawk, De Beque, Dillion, Eagle, Empire, Fraser, Frisco, Georgetown, Lafayette, Leadville, Log Lane Village,Louisville, Lyons, Mancos, Manitou Springs, Moffat, Mountain View,Nederland, Ridgway, San Luis, Sedgwick, Silt, Silver Plume,Silverthorne, Silverton, Adams County, Archuleta County,Costilla County, Gilpin County, Grand County, Larimer County,Park County, and Pitkin County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
